season,bb_ref_team_name,ATL,BOS,BKN,CHI,CHA,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2020,Atlanta Hawks,NA,2-1,1-2,3-0,1-2,1-2,0-2,1-1,2-1,2-0,2-0,1-2,1-1,1-1,1-1,2-1,1-2,2-0,2-0,0-3,1-1,3-0,1-2,1-1,1-1,1-1,1-1,3-0,0-2,3-0
2020,Boston Celtics,1-2,NA,0-3,1-2,2-1,1-2,0-2,2-0,1-2,2-0,2-0,2-1,2-0,1-1,1-1,1-2,2-1,2-0,0-2,1-2,1-1,3-0,0-3,1-1,1-1,0-2,1-1,3-0,0-2,2-1
2020,Brooklyn Nets,2-1,3-0,NA,2-1,2-1,1-2,0-2,2-0,2-1,2-0,2-0,3-0,2-0,1-1,0-2,2-1,1-2,2-0,2-0,3-0,1-1,2-1,1-2,2-0,1-1,2-0,2-0,1-2,1-1,1-2
2020,Chicago Bulls,0-3,2-1,1-2,NA,3-0,1-2,2-0,0-2,3-0,0-2,2-0,2-1,0-2,0-2,0-2,1-2,1-2,1-1,2-0,1-2,1-1,1-2,0-3,0-2,1-1,1-1,0-2,3-0,0-2,2-1
2020,Charlotte Hornets,2-1,1-2,1-2,0-3,NA,1-2,1-1,0-2,3-0,1-1,2-0,2-1,0-2,0-2,0-2,2-1,2-1,2-0,1-1,1-2,1-1,2-1,0-3,1-1,1-1,2-0,1-1,1-2,0-2,2-1
2020,Cleveland Cavaliers,2-1,2-1,2-1,2-1,2-1,NA,0-2,0-2,2-1,0-2,2-0,0-3,0-2,0-2,1-1,0-3,0-3,1-1,0-2,1-2,1-1,0-3,2-1,0-2,0-2,0-2,1-1,1-2,0-2,0-3
2020,Dallas Mavericks,2-0,2-0,2-0,0-2,1-1,2-0,NA,2-1,2-0,2-1,1-2,1-1,2-1,2-1,2-1,2-0,1-1,2-1,2-1,1-1,2-1,2-0,0-2,0-3,1-2,0-3,2-1,1-1,1-2,2-0
2020,Denver Nuggets,1-1,0-2,0-2,2-0,2-0,2-0,1-2,NA,2-0,1-2,3-0,2-0,2-1,1-2,3-0,2-0,1-1,3-0,2-1,2-0,3-0,2-0,2-0,2-1,2-1,0-3,2-1,1-1,1-2,0-2
2020,Detroit Pistons,1-2,2-1,1-2,0-3,0-3,1-2,0-2,0-2,NA,0-2,1-1,0-3,0-2,1-1,1-1,1-2,0-3,0-2,1-1,0-3,2-0,1-2,1-2,1-1,0-2,1-1,0-2,3-0,0-2,1-2
2020,Golden State Warriors,0-2,0-2,0-2,2-0,1-1,2-0,1-2,2-1,2-0,NA,3-0,1-1,1-2,1-2,2-1,1-1,1-1,2-1,2-1,1-1,3-0,1-1,1-1,1-2,1-2,2-1,2-1,1-1,2-1,0-2
2020,Houston Rockets,0-2,0-2,0-2,0-2,0-2,0-2,2-1,0-3,1-1,0-3,NA,0-2,1-2,0-3,1-2,0-2,1-1,1-2,1-2,0-2,1-2,2-0,0-2,0-3,1-2,2-1,1-2,1-1,0-3,1-1
2020,Indiana Pacers,2-1,1-2,0-3,1-2,1-2,3-0,1-1,0-2,3-0,1-1,2-0,NA,0-2,0-2,2-0,2-1,0-3,2-0,1-1,1-2,2-0,3-0,1-2,1-1,1-1,0-2,1-1,2-1,0-2,0-3
2020,Los Angeles Clippers,1-1,0-2,0-2,2-0,2-0,2-0,1-2,1-2,2-0,2-1,2-1,2-0,NA,3-0,2-1,2-0,1-1,3-0,1-2,1-1,2-1,1-1,1-1,2-1,3-0,2-1,2-1,2-0,1-2,1-1
2020,Los Angeles Lakers,1-1,1-1,1-1,2-0,2-0,2-0,1-2,2-1,1-1,2-1,3-0,2-0,0-3,NA,3-0,0-2,1-1,3-0,2-1,1-1,3-0,2-0,0-2,1-2,1-2,1-2,2-1,1-1,1-2,0-2
2020,Memphis Grizzlies,1-1,1-1,2-0,2-0,2-0,1-1,1-2,0-3,1-1,1-2,2-1,0-2,1-2,0-3,NA,2-0,1-1,3-0,1-2,0-2,2-1,1-1,2-0,1-2,2-1,3-0,2-1,1-1,0-3,2-0
2020,Miami Heat,1-2,2-1,1-2,2-1,1-2,3-0,0-2,0-2,2-1,1-1,2-0,1-2,0-2,2-0,0-2,NA,1-2,1-1,2-0,3-0,2-0,2-1,1-2,0-2,1-1,2-0,2-0,2-1,1-1,2-1
2020,Milwaukee Bucks,2-1,1-2,2-1,2-1,1-2,3-0,1-1,1-1,3-0,1-1,1-1,3-0,1-1,1-1,1-1,2-1,NA,2-0,1-1,1-2,1-1,3-0,3-0,0-2,2-0,2-0,1-1,1-2,0-2,3-0
2020,Minnesota Timberwolves,0-2,0-2,0-2,1-1,0-2,1-1,1-2,0-3,2-0,1-2,2-1,0-2,0-3,0-3,0-3,1-1,0-2,NA,2-1,1-1,1-2,1-1,0-2,1-2,1-2,2-1,1-2,1-1,3-0,0-2
2020,New Orleans Pelicans,0-2,2-0,0-2,0-2,1-1,2-0,1-2,1-2,1-1,1-2,2-1,1-1,2-1,1-2,2-1,0-2,1-1,1-2,NA,0-2,2-1,1-1,1-1,1-2,0-3,2-1,1-2,2-0,1-2,1-1
2020,New York Knicks,3-0,2-1,0-3,2-1,2-1,2-1,1-1,0-2,3-0,1-1,2-0,2-1,1-1,1-1,2-0,0-3,2-1,1-1,2-0,NA,1-1,2-1,0-3,0-2,1-1,1-1,1-1,2-1,1-1,3-0
2020,Oklahoma City Thunder,1-1,1-1,1-1,1-1,1-1,1-1,1-2,0-3,0-2,0-3,2-1,0-2,1-2,0-3,1-2,0-2,1-1,2-1,1-2,1-1,NA,1-1,0-2,1-2,1-2,0-3,2-1,1-1,0-3,0-2
2020,Orlando Magic,0-3,0-3,1-2,2-1,1-2,3-0,0-2,0-2,2-1,1-1,0-2,0-3,1-1,0-2,1-1,1-2,0-3,1-1,1-1,1-2,1-1,NA,0-3,1-1,0-2,1-1,0-2,0-3,0-2,2-1
2020,Philadelphia 76ers,2-1,3-0,2-1,3-0,3-0,1-2,2-0,0-2,2-1,1-1,2-0,2-1,1-1,2-0,0-2,2-1,0-3,2-0,1-1,3-0,2-0,3-0,NA,0-2,0-2,2-0,2-0,2-1,1-1,3-0
2020,Phoenix Suns,1-1,1-1,0-2,2-0,1-1,2-0,3-0,1-2,1-1,2-1,3-0,1-1,1-2,2-1,2-1,2-0,2-0,2-1,2-1,2-0,2-1,1-1,2-0,NA,3-0,2-1,2-1,2-0,3-0,1-1
2020,Portland Trail Blazers,1-1,1-1,1-1,1-1,1-1,2-0,2-1,1-2,2-0,2-1,2-1,1-1,0-3,2-1,1-2,1-1,0-2,2-1,3-0,1-1,2-1,2-0,2-0,0-3,NA,3-0,2-1,2-0,1-2,1-1
2020,Sacramento Kings,1-1,2-0,0-2,1-1,0-2,2-0,3-0,3-0,1-1,1-2,1-2,2-0,1-2,2-1,0-3,0-2,0-2,1-2,1-2,1-1,3-0,1-1,0-2,1-2,0-3,NA,1-2,1-1,0-3,1-1
2020,San Antonio Spurs,1-1,1-1,0-2,2-0,1-1,1-1,1-2,1-2,2-0,1-2,2-1,1-1,1-2,1-2,1-2,0-2,1-1,2-1,2-1,1-1,1-2,2-0,0-2,1-2,1-2,2-1,NA,1-1,0-3,2-0
2020,Toronto Raptors,0-3,0-3,2-1,0-3,2-1,2-1,1-1,1-1,0-3,1-1,1-1,1-2,0-2,1-1,1-1,1-2,2-1,1-1,0-2,1-2,1-1,3-0,1-2,0-2,0-2,1-1,1-1,NA,0-2,2-1
2020,Utah Jazz,2-0,2-0,1-1,2-0,2-0,2-0,2-1,2-1,2-0,1-2,3-0,2-0,2-1,2-1,3-0,1-1,2-0,0-3,2-1,1-1,3-0,2-0,1-1,0-3,2-1,3-0,3-0,2-0,NA,0-2
2020,Washington Wizards,0-3,1-2,2-1,1-2,1-2,3-0,0-2,2-0,2-1,2-0,1-1,3-0,1-1,2-0,0-2,1-2,0-3,2-0,1-1,0-3,2-0,1-2,0-3,1-1,1-1,1-1,0-2,1-2,2-0,NA
2019,Atlanta Hawks,NA,0-3,1-3,0-3,2-0,0-2,1-1,1-1,1-2,1-0,0-2,1-2,1-1,0-2,0-2,1-3,0-3,1-1,NA,1-2,0-1,2-2,1-2,1-1,1-1,0-1,2-0,0-3,0-1,1-2
2019,Boston Celtics,3-0,NA,2-2,2-0,3-0,4-0,2-0,1-1,1-1,2-0,0-2,1-1,1-1,1-1,2-0,2-1,1-2,1-0,1-1,3-0,1-1,3-0,1-3,1-1,2-0,1-1,1-1,3-1,1-1,1-2
2019,Brooklyn Nets,3-1,2-2,NA,3-0,3-1,1-0,0-1,1-1,2-1,1-0,1-1,1-2,1-0,1-1,0-2,1-2,1-1,0-2,2-0,2-2,0-1,1-3,1-3,1-1,1-1,2-0,1-1,1-3,0-2,1-2
2019,Chicago Bulls,3-0,0-2,0-3,NA,1-3,3-1,1-1,NA,4-0,0-2,0-1,0-4,1-0,0-1,2-0,0-2,0-4,1-1,0-2,1-2,0-2,0-1,0-2,0-1,0-2,1-1,1-0,0-3,0-1,3-1
2019,Charlotte Hornets,0-2,0-3,1-3,3-1,NA,1-1,1-1,0-2,4-0,2-0,1-1,1-3,0-1,0-1,0-2,1-1,0-3,1-1,0-1,3-0,0-1,0-2,0-1,0-2,0-1,2-0,0-2,1-2,0-2,1-2
2019,Cleveland Cavaliers,2-0,0-4,0-1,1-3,1-1,NA,0-2,2-0,2-2,0-1,0-1,1-2,0-2,0-1,1-1,1-3,0-3,1-1,0-2,1-3,0-2,0-3,1-3,NA,1-0,NA,2-0,0-3,0-1,2-1
2019,Dallas Mavericks,1-1,0-2,1-0,1-1,1-1,2-0,NA,2-1,1-0,3-0,1-2,1-1,0-3,1-3,2-1,0-2,2-0,3-0,4-0,0-2,1-1,2-0,2-0,1-3,2-2,3-1,3-1,1-1,1-2,1-1
2019,Denver Nuggets,1-1,1-1,1-1,NA,2-0,0-2,1-2,NA,1-1,1-1,2-2,1-1,1-2,1-3,2-1,1-1,2-0,4-0,1-2,2-0,2-1,2-0,1-1,4-0,3-1,2-1,2-0,1-1,3-0,1-1
2019,Detroit Pistons,2-1,1-1,1-2,0-4,0-4,2-2,0-1,1-1,NA,1-0,1-0,3-1,0-1,0-1,0-2,0-1,0-3,0-1,1-1,1-2,0-2,1-1,0-3,2-0,0-1,1-1,1-1,0-3,0-2,1-3
2019,Golden State Warriors,0-1,0-2,0-1,2-0,0-2,1-0,0-3,1-1,0-1,NA,1-2,0-1,0-3,0-3,1-2,0-2,0-1,1-2,2-2,0-1,0-3,1-1,1-1,2-2,1-2,0-3,0-2,0-1,0-4,1-1
2019,Houston Rockets,2-0,2-0,1-1,1-0,1-1,1-0,2-1,2-2,0-1,2-1,NA,1-1,2-2,2-1,2-1,1-1,1-1,4-0,3-1,1-1,1-2,1-1,1-1,2-1,1-3,2-1,1-2,1-0,2-1,1-0
2019,Indiana Pacers,2-1,1-1,2-1,4-0,3-1,2-1,1-1,1-1,1-3,1-0,1-1,NA,0-1,2-0,2-0,1-3,1-3,2-0,0-2,2-1,2-0,3-0,3-1,1-1,1-1,1-0,1-0,1-3,1-1,2-0
2019,Los Angeles Clippers,1-1,1-1,0-1,0-1,1-0,2-0,3-0,2-1,1-0,3-0,2-2,1-0,NA,2-2,2-1,2-0,0-2,2-1,3-1,1-0,3-1,2-0,1-1,2-2,3-0,1-2,3-1,2-0,1-2,2-0
2019,Los Angeles Lakers,2-0,1-1,1-1,1-0,1-0,1-0,3-1,3-1,1-0,3-0,1-2,0-2,2-2,NA,3-1,2-0,1-1,1-0,4-0,2-0,3-1,1-1,1-1,3-0,2-1,2-1,3-0,0-2,3-0,1-0
2019,Memphis Grizzlies,2-0,0-2,2-0,0-2,2-0,1-1,1-2,1-2,2-0,2-1,1-2,0-2,1-2,1-3,NA,1-1,1-1,3-0,0-3,1-0,2-1,0-2,0-1,3-1,1-1,1-3,2-2,0-1,1-3,2-0
2019,Miami Heat,3-1,1-2,2-1,2-0,1-1,3-1,2-0,1-1,1-0,2-0,1-1,3-1,0-2,0-2,1-1,NA,2-1,0-2,1-1,1-1,1-1,3-1,3-1,1-1,1-1,1-1,1-1,2-1,1-1,3-1
2019,Milwaukee Bucks,3-0,2-1,1-1,4-0,3-0,3-0,0-2,0-2,3-0,1-0,1-1,3-1,2-0,1-1,1-1,1-2,NA,2-0,2-0,3-0,2-0,4-0,2-1,1-1,2-0,2-0,1-1,2-1,1-1,3-0
2019,Minnesota Timberwolves,1-1,0-1,2-0,1-1,1-1,1-1,0-3,0-4,1-0,2-1,0-4,0-2,1-2,0-1,0-3,2-0,0-2,NA,1-2,NA,0-3,0-2,0-1,0-2,1-1,1-2,2-0,0-2,1-2,1-1
2019,New Orleans Pelicans,NA,1-1,0-2,2-0,1-0,2-0,0-4,2-1,1-1,2-2,1-3,2-0,1-3,0-4,3-0,1-1,0-2,2-1,NA,1-0,0-4,0-2,0-1,1-1,4-0,1-2,0-2,0-2,1-3,1-0
2019,New York Knicks,2-1,0-3,2-2,2-1,0-3,3-1,2-0,0-2,2-1,1-0,1-1,1-2,0-1,0-2,0-1,1-1,0-3,NA,0-1,NA,0-1,1-1,0-4,0-2,1-1,1-1,0-2,0-2,0-2,1-3
2019,Oklahoma City Thunder,1-0,1-1,1-0,2-0,1-0,2-0,1-1,1-2,2-0,3-0,2-1,0-2,1-3,1-3,1-2,1-1,0-2,3-0,4-0,1-0,NA,2-0,1-1,2-1,2-2,2-1,2-2,1-1,2-1,1-1
2019,Orlando Magic,2-2,0-3,3-1,1-0,2-0,3-0,0-2,0-2,1-1,1-1,1-1,0-3,0-2,1-1,2-0,1-3,0-4,2-0,2-0,1-1,0-2,NA,2-1,1-1,0-2,2-0,1-1,0-4,0-2,4-0
2019,Philadelphia 76ers,2-1,3-1,3-1,2-0,1-0,3-1,0-2,1-1,3-0,1-1,1-1,1-3,1-1,1-1,1-0,1-3,1-2,1-0,1-0,4-0,1-1,1-2,NA,0-2,1-1,2-0,2-0,1-3,1-1,2-1
2019,Phoenix Suns,1-1,1-1,1-1,1-0,2-0,NA,3-1,0-4,0-2,2-2,1-2,1-1,2-2,0-3,1-3,1-1,1-1,2-0,1-1,2-0,1-2,1-1,2-0,NA,2-2,2-2,1-2,0-2,1-1,1-1
2019,Portland Trail Blazers,1-1,0-2,1-1,2-0,1-0,0-1,2-2,1-3,1-0,2-1,3-1,1-1,0-3,1-2,1-1,1-1,0-2,1-1,0-4,1-1,2-2,2-0,1-1,2-2,NA,2-2,2-1,1-1,1-2,2-0
2019,Sacramento Kings,1-0,1-1,0-2,1-1,0-2,NA,1-3,1-2,1-1,3-0,1-2,0-1,2-1,1-2,3-1,1-1,0-2,2-1,2-1,1-1,1-2,0-2,0-2,2-2,2-2,NA,1-2,0-2,1-2,2-0
2019,San Antonio Spurs,0-2,1-1,1-1,0-1,2-0,0-2,1-3,0-2,1-1,2-0,2-1,0-1,1-3,0-3,2-2,1-1,1-1,0-2,2-0,2-0,2-2,1-1,0-2,2-1,1-2,2-1,NA,1-1,3-1,1-1
2019,Toronto Raptors,3-0,1-3,3-1,3-0,2-1,3-0,1-1,1-1,3-0,1-0,0-1,3-1,0-2,2-0,1-0,1-2,1-2,2-0,2-0,2-0,1-1,4-0,3-1,2-0,1-1,2-0,1-1,NA,2-0,2-0
2019,Utah Jazz,1-0,1-1,2-0,1-0,2-0,1-0,2-1,0-3,2-0,4-0,1-2,1-1,2-1,0-3,3-1,1-1,1-1,2-1,3-1,2-0,1-2,2-0,1-1,1-1,2-1,2-1,1-3,0-2,NA,2-0
2019,Washington Wizards,2-1,2-1,2-1,1-3,2-1,1-2,1-1,1-1,3-1,1-1,0-1,0-2,0-2,0-1,0-2,1-3,0-3,1-1,0-1,3-1,1-1,0-4,1-2,1-1,0-2,0-2,1-1,0-2,0-2,NA
2018,Atlanta Hawks,NA,0-4,0-3,2-2,1-3,2-1,1-1,1-1,1-2,0-2,0-2,0-4,1-1,1-1,1-1,3-1,1-3,2-0,2-0,1-3,1-1,0-4,3-1,2-0,0-2,0-2,0-2,0-3,1-1,2-2
2018,Boston Celtics,4-0,NA,2-2,2-1,2-2,4-0,1-1,0-2,3-1,1-1,0-2,3-1,0-2,1-1,2-0,3-1,1-2,2-0,2-0,3-1,2-0,0-3,3-1,1-1,0-2,2-0,0-2,2-2,0-2,3-0
2018,Brooklyn Nets,3-0,2-2,NA,3-1,2-2,3-1,1-1,2-0,2-1,0-2,1-1,1-2,0-2,2-0,1-1,2-2,1-3,0-2,1-1,3-1,0-2,2-1,2-2,2-0,0-2,2-0,1-1,1-3,0-2,2-2
2018,Chicago Bulls,2-2,1-2,1-3,NA,1-2,3-1,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,2-0,1-2,0-4,0-2,0-2,1-2,1-1,2-2,1-3,2-0,0-2,0-2,1-1,0-4,0-2,3-1
2018,Charlotte Hornets,3-1,2-2,2-2,2-1,NA,3-1,0-2,1-1,4-0,0-2,0-2,1-2,0-2,0-2,2-0,2-2,1-3,1-1,1-1,2-1,0-2,2-2,0-4,2-0,0-2,1-1,2-0,2-1,0-2,3-1
2018,Cleveland Cavaliers,1-2,0-4,1-3,1-3,1-3,NA,0-2,0-2,1-3,0-2,1-1,1-3,0-2,1-1,1-1,0-4,1-3,0-2,0-2,3-0,0-2,1-2,1-2,1-1,0-2,0-2,0-2,1-3,0-2,2-2
2018,Dallas Mavericks,1-1,1-1,1-1,2-0,2-0,2-0,NA,0-3,1-1,2-2,2-2,1-1,2-2,0-3,1-3,0-2,0-2,2-1,1-3,1-1,3-1,1-1,1-1,2-2,2-2,0-3,0-4,0-2,1-3,1-1
2018,Denver Nuggets,1-1,2-0,0-2,2-0,1-1,2-0,3-0,NA,1-1,1-3,1-3,1-1,3-1,2-1,2-1,2-0,0-2,4-0,2-2,2-0,4-0,2-0,1-1,3-1,3-1,3-0,2-2,2-0,1-3,1-1
2018,Detroit Pistons,2-1,1-3,1-2,4-0,0-4,3-1,1-1,1-1,NA,1-1,1-1,1-3,1-1,1-1,2-0,2-2,0-4,2-0,1-1,4-0,0-2,3-1,1-3,2-0,1-1,0-2,0-2,3-0,0-2,2-1
2018,Golden State Warriors,2-0,1-1,2-0,2-0,2-0,2-0,2-2,3-1,1-1,NA,1-3,2-0,3-1,3-1,3-1,1-1,1-1,3-1,3-0,2-0,2-1,1-1,1-1,3-1,2-2,4-0,1-2,0-2,2-1,2-0
2018,Houston Rockets,2-0,2-0,1-1,2-0,2-0,1-1,2-2,3-1,1-1,3-1,NA,2-0,1-2,3-1,3-1,1-1,0-2,1-2,2-2,2-0,1-3,1-1,1-1,3-0,1-2,4-0,3-1,2-0,2-2,1-1
2018,Indiana Pacers,4-0,1-3,2-1,4-0,2-1,3-1,1-1,1-1,3-1,0-2,0-2,NA,1-1,1-1,1-1,3-0,1-3,1-1,2-0,4-0,1-1,1-3,1-3,2-0,0-2,1-1,1-1,1-2,2-0,3-1
2018,Los Angeles Clippers,1-1,2-0,2-0,2-0,2-0,2-0,2-2,1-3,1-1,1-3,2-1,1-1,NA,2-2,3-1,1-1,1-1,2-1,1-2,2-0,2-2,2-0,0-2,4-0,1-3,4-0,2-2,0-2,1-2,1-1
2018,Los Angeles Lakers,1-1,1-1,0-2,2-0,2-0,1-1,3-0,1-2,1-1,1-3,1-3,1-1,2-2,NA,1-2,2-0,0-2,1-3,3-1,0-2,1-2,0-2,0-2,3-1,2-2,3-1,1-3,0-2,2-2,1-1
2018,Memphis Grizzlies,1-1,0-2,1-1,0-2,0-2,1-1,3-1,1-2,0-2,1-3,1-3,1-1,1-3,2-1,NA,0-2,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-1,2-2,1-3,2-2,0-2,3-1,1-1
2018,Miami Heat,1-3,1-3,2-2,2-1,2-2,4-0,2-0,0-2,2-2,1-1,1-1,0-3,1-1,0-2,2-0,NA,1-3,0-2,2-0,3-0,1-1,1-3,1-2,1-1,2-0,0-2,2-0,0-4,1-1,3-1
2018,Milwaukee Bucks,3-1,2-1,3-1,4-0,3-1,3-1,2-0,2-0,4-0,1-1,2-0,3-1,1-1,2-0,1-1,3-1,NA,2-0,2-0,3-1,0-2,2-1,2-1,0-2,1-1,2-0,1-1,3-1,1-1,2-1
2018,Minnesota Timberwolves,0-2,0-2,2-0,2-0,1-1,2-0,1-2,0-4,0-2,1-3,2-1,1-1,1-2,3-1,2-2,2-0,0-2,NA,2-2,2-0,3-1,1-1,0-2,2-1,1-3,2-2,1-3,0-2,1-3,1-1
2018,New Orleans Pelicans,0-2,0-2,1-1,2-0,1-1,2-0,3-1,2-2,1-1,0-3,2-2,0-2,2-1,1-3,2-2,0-2,0-2,2-2,NA,1-1,2-2,0-2,0-2,2-2,0-3,3-1,1-3,1-1,1-2,1-1
2018,New York Knicks,3-1,1-3,1-3,2-1,1-2,0-3,1-1,0-2,0-4,0-2,0-2,0-4,0-2,2-0,1-1,0-3,1-3,0-2,1-1,NA,0-2,1-3,0-4,0-2,0-2,0-2,1-1,0-4,0-2,1-3
2018,Oklahoma City Thunder,1-1,0-2,2-0,1-1,2-0,2-0,1-3,0-4,2-0,1-2,3-1,1-1,2-2,2-1,2-1,1-1,2-0,1-3,2-2,2-0,NA,2-0,1-1,4-0,4-0,1-3,1-2,1-1,4-0,1-1
2018,Orlando Magic,4-0,3-0,1-2,2-2,2-2,2-1,1-1,0-2,1-3,1-1,1-1,3-1,0-2,2-0,1-1,3-1,1-2,1-1,2-0,3-1,0-2,NA,2-2,1-1,0-2,0-2,1-1,2-2,1-1,1-3
2018,Philadelphia 76ers,1-3,1-3,2-2,3-1,4-0,2-1,1-1,1-1,3-1,1-1,1-1,3-1,2-0,2-0,1-1,2-1,1-2,2-0,2-0,4-0,1-1,2-2,NA,2-0,0-2,1-1,1-1,1-3,2-0,2-1
2018,Phoenix Suns,0-2,1-1,0-2,0-2,0-2,1-1,2-2,1-3,0-2,1-3,0-3,0-2,0-4,1-3,1-2,1-1,2-0,1-2,2-2,2-0,0-4,1-1,0-2,NA,0-3,1-3,1-3,0-2,0-4,0-2
2018,Portland Trail Blazers,2-0,2-0,2-0,2-0,2-0,2-0,2-2,1-3,1-1,2-2,2-1,2-0,3-1,2-2,2-2,0-2,1-1,3-1,3-0,2-0,0-4,2-0,2-0,3-0,NA,2-1,2-2,1-1,2-2,1-1
2018,Sacramento Kings,2-0,0-2,0-2,2-0,1-1,2-0,3-0,0-3,2-0,0-4,0-4,1-1,0-4,1-3,3-1,2-0,0-2,2-2,1-3,2-0,3-1,2-0,1-1,3-1,1-2,NA,3-0,0-2,1-3,1-1
2018,San Antonio Spurs,2-0,2-0,1-1,1-1,0-2,2-0,4-0,2-2,2-0,2-1,1-3,1-1,2-2,3-1,2-2,0-2,1-1,3-1,3-1,1-1,2-1,1-1,1-1,3-1,2-2,0-3,NA,1-1,1-2,2-0
2018,Toronto Raptors,3-0,2-2,3-1,4-0,1-2,3-1,2-0,0-2,0-3,2-0,0-2,2-1,2-0,2-0,2-0,4-0,1-3,2-0,1-1,4-0,1-1,2-2,3-1,2-0,1-1,2-0,1-1,NA,2-0,4-0
2018,Utah Jazz,1-1,2-0,2-0,2-0,2-0,2-0,3-1,3-1,2-0,1-2,2-2,0-2,2-1,2-2,1-3,1-1,1-1,3-1,2-1,2-0,0-4,1-1,0-2,4-0,2-2,3-1,2-1,0-2,NA,2-0
2018,Washington Wizards,2-2,0-3,2-2,1-3,1-3,2-2,1-1,1-1,1-2,0-2,1-1,1-3,1-1,1-1,1-1,1-3,1-2,1-1,1-1,3-1,1-1,3-1,1-2,2-0,1-1,1-1,0-2,0-4,0-2,NA
2017,Atlanta Hawks,NA,1-3,1-3,0-3,0-4,1-3,2-0,1-1,1-3,0-2,0-2,1-3,0-2,0-2,1-1,1-3,0-3,1-1,1-1,2-1,0-2,2-2,0-3,1-1,1-1,1-1,1-1,0-4,2-0,2-2
2017,Boston Celtics,3-1,NA,4-0,3-1,3-0,1-2,2-0,2-0,2-1,1-1,1-1,2-2,1-1,1-1,2-0,1-2,2-2,2-0,0-2,3-1,2-0,3-1,3-1,2-0,2-0,2-0,1-1,2-2,1-1,1-3
2017,Brooklyn Nets,3-1,0-4,NA,3-0,1-2,1-3,2-0,0-2,1-3,0-2,0-2,0-4,0-2,0-2,2-0,3-1,1-2,1-1,0-2,0-4,1-1,3-1,1-3,1-1,1-1,0-2,0-2,0-4,1-1,2-1
2017,Chicago Bulls,3-0,1-3,0-3,NA,3-1,0-4,2-0,0-2,1-3,0-2,0-2,1-3,0-2,0-2,2-0,1-3,2-2,1-1,0-2,3-1,0-2,4-0,1-2,0-2,0-2,0-2,0-2,0-4,1-1,1-2
2017,Charlotte Hornets,4-0,0-3,2-1,1-3,NA,0-3,1-1,1-1,2-1,1-1,0-2,2-2,1-1,1-1,2-0,0-4,2-2,1-1,0-2,2-2,1-1,4-0,0-4,2-0,0-2,2-0,0-2,0-4,1-1,3-1
2017,Cleveland Cavaliers,3-1,2-1,3-1,4-0,3-0,NA,2-0,1-1,3-1,0-2,0-2,1-3,1-1,1-1,2-0,2-1,3-1,1-1,1-1,2-2,1-1,2-2,2-2,2-0,1-1,1-1,0-2,2-1,1-1,3-1
2017,Dallas Mavericks,0-2,0-2,0-2,0-2,1-1,0-2,NA,2-2,1-1,0-4,0-4,2-0,1-2,1-3,3-1,0-2,1-1,0-4,1-3,1-1,2-2,1-1,0-2,0-3,1-2,2-2,1-3,1-1,0-3,2-0
2017,Denver Nuggets,1-1,0-2,2-0,2-0,1-1,1-1,2-2,NA,2-0,2-2,0-3,1-1,1-2,2-2,3-1,1-1,2-0,1-3,2-1,1-1,3-1,2-0,0-2,2-1,3-1,3-1,2-2,1-1,2-2,1-1
2017,Detroit Pistons,3-1,1-2,3-1,3-1,1-2,1-3,1-1,0-2,NA,1-1,1-1,3-1,1-1,1-1,1-1,2-2,2-2,2-0,0-2,3-0,1-1,1-2,0-4,2-0,1-1,2-0,1-1,0-4,0-2,1-3
2017,Golden State Warriors,2-0,1-1,2-0,2-0,1-1,2-0,4-0,2-2,1-1,NA,1-2,0-2,3-1,4-0,2-1,2-0,1-1,2-1,3-1,2-0,2-2,2-0,2-0,4-0,1-2,2-2,3-1,2-0,1-3,2-0
2017,Houston Rockets,2-0,1-1,2-0,2-0,2-0,2-0,4-0,3-0,1-1,2-1,NA,2-0,2-2,3-1,2-2,2-0,2-0,4-0,3-1,2-0,1-2,2-0,1-1,4-0,4-0,2-1,3-1,0-2,4-0,1-1
2017,Indiana Pacers,3-1,2-2,4-0,3-1,2-2,3-1,0-2,1-1,1-3,2-0,0-2,NA,2-0,1-1,2-0,2-2,3-1,1-1,0-2,2-1,0-2,3-0,2-1,2-0,0-2,2-0,2-0,1-3,1-1,1-2
2017,Los Angeles Clippers,2-0,1-1,2-0,2-0,1-1,1-1,2-1,2-1,1-1,1-3,2-2,0-2,NA,3-1,2-2,0-2,2-0,0-4,1-3,1-1,0-3,2-0,0-2,4-0,1-3,4-0,1-2,2-0,1-3,1-1
2017,Los Angeles Lakers,2-0,1-1,2-0,2-0,1-1,1-1,3-1,2-2,1-1,0-4,1-3,1-1,1-3,NA,2-2,1-1,0-2,0-4,0-3,1-1,2-2,1-1,1-1,3-1,0-3,2-2,3-0,0-2,0-3,1-1
2017,Memphis Grizzlies,1-1,0-2,0-2,0-2,0-2,0-2,1-3,1-3,1-1,1-2,2-2,0-2,2-2,2-2,NA,0-2,0-2,2-1,2-2,1-1,0-4,0-2,1-1,1-3,2-2,2-1,0-4,0-2,0-3,0-2
