season,bb_ref_team_name,ATL,BOS,BKN,CHI,CHA,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2009,Philadelphia 76ers,1-2,1-3,4-0,1-3,1-3,0-3,1-1,1-1,1-3,2-0,1-1,1-2,0-2,0-2,1-1,0-4,2-2,1-1,2-0,1-3,0-2,0-4,NA,0-2,1-1,2-0,1-1,1-3,0-2,0-3
2009,Phoenix Suns,1-1,2-0,2-0,1-1,0-2,0-2,1-2,3-1,2-0,3-1,4-0,1-1,4-0,1-3,2-2,1-1,1-1,4-0,3-1,1-1,1-2,1-1,2-0,NA,1-2,4-0,2-1,2-0,2-2,2-0
2009,Portland Trail Blazers,0-2,0-2,2-0,1-1,2-0,0-2,3-1,1-3,2-0,2-2,2-2,2-0,3-1,2-1,2-2,1-1,1-1,4-0,2-1,1-1,3-1,1-1,1-1,2-1,NA,4-0,3-0,2-0,0-4,1-1
2009,Sacramento Kings,0-2,0-2,1-1,1-1,0-2,0-2,0-4,2-1,1-1,2-2,2-2,1-1,3-1,0-4,1-2,0-2,1-1,2-2,1-2,2-0,1-3,0-2,0-2,0-4,0-4,NA,0-4,1-1,2-1,1-1
2009,San Antonio Spurs,1-1,1-1,1-1,0-2,1-1,1-1,1-3,2-2,1-1,3-0,2-2,2-0,4-0,2-2,2-2,2-0,2-0,3-0,4-0,2-0,3-1,1-1,1-1,1-2,0-3,4-0,NA,1-1,0-4,2-0
2009,Toronto Raptors,1-3,0-4,4-0,2-1,2-1,1-3,1-1,0-2,4-0,0-2,1-1,2-2,2-0,1-1,0-2,2-2,1-2,2-0,2-0,4-0,0-2,1-3,3-1,0-2,0-2,1-1,1-1,NA,0-2,2-1
2009,Utah Jazz,0-2,1-1,2-0,2-0,2-0,1-1,2-1,1-3,2-0,3-0,2-2,1-1,3-1,1-3,2-1,1-1,1-1,2-2,3-1,2-0,1-3,1-1,2-0,2-2,4-0,1-2,4-0,2-0,NA,2-0
2009,Washington Wizards,0-4,1-3,4-0,1-2,0-4,1-2,1-1,1-1,0-4,2-0,0-2,1-3,0-2,0-2,0-2,1-3,2-2,1-1,1-1,1-3,0-2,2-2,3-0,0-2,1-1,1-1,0-2,1-2,0-2,NA
2008,Atlanta Hawks,NA,0-4,1-3,3-0,3-1,1-3,1-1,1-1,3-0,1-1,1-1,3-1,1-1,1-1,1-1,3-1,3-1,2-0,2-0,1-2,2-0,1-3,1-2,0-2,1-1,2-0,0-2,3-1,1-1,4-0
2008,Boston Celtics,4-0,NA,4-0,2-1,2-1,2-2,2-0,1-1,3-1,1-1,1-1,3-1,1-1,0-2,2-0,3-1,2-1,2-0,2-0,3-1,2-0,2-2,4-0,2-0,1-1,2-0,1-1,4-0,1-1,3-0
